id	y
id00023	1
id00310	0
id00356	0
id00454	1
id00653	1
id00656	1
id00688	1
id00741	1
id00838	1
id00961	1
id01077	1
id01126	0
id01170	0
id01273	0
id01279	0
id01390	1
id01556	0
id01623	0
id01769	0
id01804	0
id02036	0
id02133	0
id02272	1
id02369	0
id02385	0
id02494	1
id02582	1
id02653	0
id02688	1
id02690	0
id02707	0
id02814	1
id02883	0
id02919	1
id02939	1
id02953	1
id03086	0
id03134	1
id03146	0
id03158	0
id03245	0
id03312	1
id03511	0
id03514	0
id03607	0
id03612	1
id03689	1
id03827	0
id03848	0
id03878	0
id03927	0
id03964	0
id04028	0
id04078	1
id04180	0
id04223	1
id04326	0
id04333	1
id04370	0
id04444	1
id04528	0
id04794	0
id04822	1
id04874	0
id04928	1
id04960	1
id05132	1
id05139	1
id05369	0
id05499	1
id05558	1
id05627	0
id05715	0
id05800	1
id05880	1
id05885	0
id06310	0
id06321	0
id06373	0
id06445	0
id06466	0
id06525	0
id06623	1
id06699	1
id06704	0
id06781	1
id06894	0
id06991	0
id07066	0
id07174	1
id07290	0
id07339	1
id07507	0
id07515	0
id07542	1
id07545	0
id07687	0
id07756	0
id07800	1
id07839	1
